Fold,Protein name,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
Globm-like(alpha),2LHB,27.516778523489933,41.61073825503356,30.87248322147651,10.81081081081081,10.135135135135135,11.486486486486488,3.0,53.0,78.0,103.0,145.0,0.0,27.25,59.5,106.5,148.0,1.0,40.25,82.0,120.25,144.0
Globm-like(alpha),3SDHA,34.24657534246575,34.24657534246575,31.506849315068493,8.96551724137931,11.724137931034482,11.724137931034482,4.0,33.75,71.5,103.75,142.0,0.0,32.5,67.5,110.25,144.0,2.0,41.75,79.5,108.75,145.0
Globm-like(alpha),1FLP,26.056338028169012,47.183098591549296,26.76056338028169,13.47517730496454,8.51063829787234,11.347517730496454,2.0,41.0,76.0,98.0,140.0,0.0,27.5,64.0,105.0,139.0,1.0,38.25,72.5,110.5,141.0
Globm-like(alpha),2HBG,23.12925170068027,48.97959183673469,27.89115646258503,9.58904109589041,8.21917808219178,13.698630136986301,5.0,29.0,79.0,102.25,145.0,0.0,40.25,72.0,112.75,146.0,1.0,34.0,67.0,105.0,144.0
Globm-like(alpha),2MGE,32.467532467532465,37.01298701298701,30.519480519480517,13.725490196078432,11.76470588235294,9.15032679738562,4.0,42.5,77.5,121.0,152.0,3.0,51.0,88.0,119.0,153.0,0.0,28.5,66.0,106.5,149.0
Globm-like(alpha),1ECA,26.47058823529412,41.911764705882355,31.61764705882353,11.851851851851853,10.37037037037037,12.592592592592592,3.0,34.5,63.5,94.25,134.0,1.0,35.0,70.0,106.0,133.0,0.0,33.5,68.0,103.5,135.0
Globm-like(alpha),2GDM,29.411764705882355,37.254901960784316,33.33333333333333,10.526315789473683,11.18421052631579,11.18421052631579,4.0,41.0,76.0,119.0,150.0,0.0,37.0,73.0,105.0,152.0,2.0,38.5,79.0,113.5,148.0
Globm-like(alpha),1BABB,26.027397260273972,40.41095890410959,33.56164383561644,8.275862068965518,11.03448275862069,12.413793103448276,5.0,38.25,68.5,100.75,143.0,1.0,40.0,73.0,117.0,145.0,0.0,33.0,74.0,108.0,140.0
Globm-like(alpha),1ITHA,22.69503546099291,44.680851063829785,32.62411347517731,12.857142857142856,6.428571428571428,16.428571428571427,5.0,29.75,70.5,102.0,140.0,0.0,37.5,70.0,103.0,138.0,1.0,30.75,69.5,106.75,139.0
Globm-like(alpha),1ASH,41.333333333333336,33.33333333333333,25.333333333333336,14.76510067114094,8.053691275167784,9.395973154362416,1.0,35.25,66.5,115.25,149.0,0.0,38.25,77.5,108.0,148.0,6.0,41.0,74.5,110.25,144.0
Globm-like(alpha),1HLB,31.84713375796178,36.30573248407643,31.84713375796178,11.538461538461538,12.179487179487179,9.615384615384617,6.0,37.0,78.5,117.0,154.0,0.0,44.0,73.0,112.0,156.0,3.0,38.25,82.0,119.75,153.0
Globm-like(alpha),1CPCA,24.691358024691358,50.617283950617285,24.691358024691358,13.664596273291925,6.211180124223603,13.664596273291925,1.0,38.75,80.5,119.75,158.0,2.0,39.25,70.5,118.75,161.0,0.0,48.25,95.5,121.5,160.0
Globm-like(alpha),1CPCB,26.744186046511626,44.18604651162791,29.069767441860467,12.280701754385964,7.602339181286549,12.865497076023392,2.0,36.5,76.5,113.75,165.0,3.0,48.75,93.5,136.25,171.0,0.0,40.75,87.5,124.25,170.0
CYTOCHROME C (ALPHA),1CCR,31.53153153153153,46.846846846846844,21.62162162162162,13.636363636363635,6.363636363636363,8.181818181818182,4.0,28.5,60.0,83.0,107.0,0.0,25.75,50.5,78.75,110.0,2.0,36.0,65.5,87.25,105.0
CYTOCHROME C (ALPHA),1CXA,35.483870967741936,42.74193548387097,21.774193548387096,19.51219512195122,6.504065040650407,10.569105691056912,0.0,31.75,68.5,94.5,122.0,2.0,30.0,55.0,89.0,123.0,11.0,33.5,70.0,100.0,121.0
CYTOCHROME C (ALPHA),2PAC,32.926829268292686,40.243902439024396,26.82926829268293,12.345679012345679,8.641975308641975,9.876543209876543,0.0,19.0,42.0,65.0,81.0,2.0,25.0,39.0,59.0,79.0,4.0,14.75,38.0,59.5,78.0
CYTOCHROME C (ALPHA),2MTAC,28.57142857142857,44.89795918367347,26.53061224489796,12.32876712328767,6.8493150684931505,13.013698630136986,2.0,25.75,49.5,110.75,145.0,0.0,52.25,78.5,105.75,146.0,3.0,34.0,77.0,110.5,144.0
CYTOCHROME C (ALPHA),1C53,32.91139240506329,44.303797468354425,22.78481012658228,15.384615384615385,6.41025641025641,11.538461538461538,1.0,31.25,43.0,61.75,77.0,0.0,14.5,30.0,49.5,76.0,5.0,22.5,38.5,59.75,78.0
